DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
117,3.64807
114,5.71843
2,1.03726
37,1.03726
100,1.03726
90,1.03726
41,1.03726
21,1.03726
95,1.03726
45,1.03726
62,1.03726
54,1.03726
27,1.03726
40,1.03726
49,1.03726
29,1.03726
116,50.6647
6,1.03726
82,1.03726
88,1.03726
9,1.03726
31,3.10485
38,1.03726
94,1.03726
43,1.03726
26,1.03726
48,1.03726
19,1.03726
68,1.03726
83,1.03726
4,1.03726
74,8.69414
80,1.03726
69,1.03726
104,1.03726
79,1.03726
42,1.03726
55,1.03726
119,13.955329
120,3.11382
8,1.03726
67,1.03726
53,1.03726
92,1.03726
15,1.03726
118,31.296229999999998
22,1.03726
39,0.649066
97,1.03726
96,1.03726
72,1.03726
93,1.03726
12,1.03726
17,1.03726
57,1.03726
87,1.03726
18,1.03726
77,1.03726
112,1.03726
47,1.03726
86,1.03726
56,1.03726
25,1.03726
51,1.03726
98,1.03726
70,1.03726
115,6.45259
28,1.03726
